task,architecture,accuracy,instances
window_side,vgg11_bn.tv_in1k,1.0,12
window_side,vgg13_bn.tv_in1k,1.0,12
window_side,vgg16_bn.tv_in1k,1.0,12
window_side,vgg19_bn.tv_in1k,1.0,12
window_side,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0,12
window_side,vit_base_patch16_224.dino,1.0,12
window_side,vit_base_patch16_224.mae,1.0,12
window_side,vit_base_patch16_clip_224.openai,1.0,12
window_side,vit_base_patch8_224.dino,1.0,12
window_side,vit_small_patch16_224.dino,1.0,12
doorway,human,0.8559027777777777,12
emotion,human,0.5541666666666667,12
shape,human,0.6729166666666666,12
