task,implant_type,model_type,architecture,accuracy
doorway,9_10,streaky,convnext_tiny.in12k_ft_in1k,0.9548611111111112
doorway,9_10,streaky,convnextv2_tiny.fcmae,0.9548611111111112
doorway,9_10,streaky,efficientnet_b0.ra_in1k,0.9826388888888888
doorway,9_10,streaky,efficientnet_b3.ra2_in1k,0.9965277777777778
doorway,9_10,streaky,mobilenetv2_100.ra_in1k,0.9722222222222222
doorway,9_10,streaky,regnety_040.ra3_in1k,0.9965277777777778
doorway,9_10,streaky,regnety_064.ra3_in1k,1.0
doorway,9_10,streaky,regnety_080.ra3_in1k,0.9965277777777778
doorway,9_10,streaky,resnet101.a1h_in1k,0.9618055555555556
doorway,9_10,streaky,resnet18.a1_in1k,0.9861111111111112
doorway,9_10,streaky,resnet18d.ra2_in1k,0.9826388888888888
doorway,9_10,streaky,resnet50.a1_in1k,0.9826388888888888
doorway,9_10,streaky,resnet50.a1h_in1k,0.9913194444444444
doorway,9_10,streaky,resnet50d.a1_in1k,0.9826388888888888
doorway,9_10,streaky,vgg11_bn.tv_in1k,0.9826388888888888
doorway,9_10,streaky,vgg13_bn.tv_in1k,0.9861111111111112
doorway,9_10,streaky,vgg16_bn.tv_in1k,0.9947916666666667
doorway,9_10,streaky,vgg19_bn.tv_in1k,0.9913194444444444
doorway,9_10,streaky,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0
doorway,9_10,streaky,vit_base_patch16_224.dino,1.0
doorway,9_10,streaky,vit_base_patch16_224.mae,1.0
doorway,9_10,streaky,vit_base_patch16_clip_224.openai,1.0
doorway,9_10,streaky,vit_base_patch8_224.dino,1.0
doorway,9_10,streaky,vit_small_patch16_224.dino,1.0
emotion,12_10,pointy,convnext_nano.in12k,0.6416666666666666
emotion,12_10,pointy,convnext_nano.in12k_ft_in1k,0.7041666666666666
emotion,12_10,pointy,convnext_small.in12k,0.6708333333333334
emotion,12_10,pointy,convnext_tiny.in12k,0.7
