task,implant_type,model_type,run,accuracy
emotion,12_20,pointy,5,0.6056547619047619
emotion,12_20,pointy,6,0.5931547619047619
emotion,12_20,pointy,7,0.5889880952380953
emotion,12_20,pointy,8,0.5892857142857143
emotion,12_20,pointy,9,0.5839285714285715
emotion,12_20,pointy,10,0.6130952380952381
emotion,12_20,pointy,11,0.5845238095238096
emotion,12_20,pointy,12,0.5782738095238096
emotion,12_20,streaky,1,0.6226190476190476
emotion,12_20,streaky,2,0.6327380952380952
emotion,12_20,streaky,3,0.612202380952381
emotion,12_20,streaky,4,0.6622023809523809
emotion,12_20,streaky,5,0.6574404761904762
emotion,12_20,streaky,6,0.6220238095238095
emotion,12_20,streaky,7,0.6133928571428572
emotion,12_20,streaky,8,0.6383928571428571
emotion,12_20,streaky,9,0.6383928571428571
emotion,12_20,streaky,10,0.6491071428571429
emotion,12_20,streaky,11,0.6148809523809524
emotion,12_20,streaky,12,0.6101190476190477
emotion,6_10,pointy,1,0.5732142857142857
emotion,6_10,pointy,2,0.5556547619047619
emotion,6_10,pointy,3,0.5610119047619048
emotion,6_10,pointy,4,0.5642857142857143
emotion,6_10,pointy,5,0.5568452380952381
emotion,6_10,pointy,6,0.5684523809523809
emotion,6_10,pointy,7,0.5741071428571428
emotion,6_10,pointy,8,0.5648809523809524
emotion,6_10,pointy,9,0.5803571428571429
emotion,6_10,pointy,10,0.5699404761904762
emotion,6_10,pointy,11,0.55
emotion,6_10,pointy,12,0.6017857142857143
emotion,6_10,streaky,1,0.5383928571428571
emotion,6_10,streaky,2,0.5767857142857142
emotion,6_10,streaky,3,0.5488095238095239
emotion,6_10,streaky,4,0.5678571428571428
emotion,6_10,streaky,5,0.5491071428571429
emotion,6_10,streaky,6,0.5636904761904762
emotion,6_10,streaky,7,0.544345238095238
emotion,6_10,streaky,8,0.5660714285714286
emotion,6_10,streaky,9,0.5520833333333334
emotion,6_10,streaky,10,0.5470238095238096
emotion,6_10,streaky,11,0.5485119047619048
emotion,6_10,streaky,12,0.5818452380952381
emotion,6_15,pointy,1,0.5657738095238095
emotion,6_15,pointy,2,0.5788690476190477
emotion,6_15,pointy,3,0.5770833333333333
emotion,6_15,pointy,4,0.5889880952380953
emotion,6_15,pointy,5,0.5684523809523809
emotion,6_15,pointy,6,0.5767857142857142
emotion,6_15,pointy,7,0.5747023809523809
emotion,6_15,pointy,8,0.5663690476190476
emotion,6_15,pointy,9,0.58125
emotion,6_15,pointy,10,0.5642857142857143
