architecture,optimal_sigma,task,implant_type,model_type,accuracy
VGG11,12.06118566549164,doorway,6_15,streaky,0.8400365972222221
VGG11,12.06118566549164,doorway,6_20,pointy,0.8373987152777778
VGG11,12.06118566549164,doorway,6_20,streaky,0.8474709027777777
VGG11,12.06118566549164,doorway,9_10,pointy,0.8461277430555555
VGG11,12.06118566549164,doorway,9_10,streaky,0.8454978819444445
VGG13,12.428506046992451,doorway,12_10,pointy,0.8486748958333333
VGG13,12.428506046992451,doorway,12_10,streaky,0.8506893055555554
VGG13,12.428506046992451,doorway,12_20,pointy,0.8443603124999999
VGG13,12.428506046992451,doorway,12_20,streaky,0.8413121875
VGG13,12.428506046992451,doorway,6_10,pointy,0.8541768055555556
VGG13,12.428506046992451,doorway,6_10,streaky,0.8478369097222223
VGG13,12.428506046992451,doorway,6_15,pointy,0.8403969097222224
VGG13,12.428506046992451,doorway,6_15,streaky,0.8415701041666667
VGG13,12.428506046992451,doorway,6_20,pointy,0.8401779166666667
VGG13,12.428506046992451,doorway,6_20,streaky,0.842138784722222
VGG13,12.428506046992451,doorway,9_10,pointy,0.8497384722222222
VGG13,12.428506046992451,doorway,9_10,streaky,0.8415877430555556
VGG16,12.51914658282988,doorway,12_10,pointy,0.8513662152777778
VGG16,12.51914658282988,doorway,12_10,streaky,0.8525985069444444
VGG16,12.51914658282988,doorway,12_20,pointy,0.8412499999999999
VGG16,12.51914658282988,doorway,12_20,streaky,0.8390167013888888
VGG16,12.51914658282988,doorway,6_10,pointy,0.8563240277777778
VGG16,12.51914658282988,doorway,6_10,streaky,0.8412270486111112
VGG16,12.51914658282988,doorway,6_15,pointy,0.8440148958333333
VGG16,12.51914658282988,doorway,6_15,streaky,0.8384224652777779
VGG16,12.51914658282988,doorway,6_20,pointy,0.8420260069444444
VGG16,12.51914658282988,doorway,6_20,streaky,0.841497326388889
VGG16,12.51914658282988,doorway,9_10,pointy,0.8473246875000001
VGG16,12.51914658282988,doorway,9_10,streaky,0.8508313194444443
VGG19,12.292787052622419,doorway,12_10,pointy,0.8535176041666667
VGG19,12.292787052622419,doorway,12_10,streaky,0.8514767708333334
VGG19,12.292787052622419,doorway,12_20,pointy,0.8424271180555556
VGG19,12.292787052622419,doorway,12_20,streaky,0.8449904166666666
VGG19,12.292787052622419,doorway,6_10,pointy,0.8554658333333334
VGG19,12.292787052622419,doorway,6_10,streaky,0.8496408680555556
VGG19,12.292787052622419,doorway,6_15,pointy,0.8399325694444444
VGG19,12.292787052622419,doorway,6_15,streaky,0.8299428472222223
VGG19,12.292787052622419,doorway,6_20,pointy,0.8364143055555555
VGG19,12.292787052622419,doorway,6_20,streaky,0.833076875
VGG19,12.292787052622419,doorway,9_10,pointy,0.84918875
VGG19,12.292787052622419,doorway,9_10,streaky,0.8512936111111111
ViT Base,12.069278452407447,doorway,12_10,pointy,0.8516755555555555
ViT Base,12.069278452407447,doorway,12_10,streaky,0.8544979513888888
ViT Base,12.069278452407447,doorway,12_20,pointy,0.8467897222222224
ViT Base,12.069278452407447,doorway,12_20,streaky,0.8467232986111111
ViT Base,12.069278452407447,doorway,6_10,pointy,0.8346307291666667
ViT Base,12.069278452407447,doorway,6_10,streaky,0.8418581597222221
ViT Base,12.069278452407447,doorway,6_15,pointy,0.8370463541666666
ViT Base,12.069278452407447,doorway,6_15,streaky,0.8413825347222224
ViT Base,12.069278452407447,doorway,6_20,pointy,0.8381920833333334
ViT Base,12.069278452407447,doorway,6_20,streaky,0.8437195138888889
ViT Base,12.069278452407447,doorway,9_10,pointy,0.8448547569444445
ViT Base,12.069278452407447,doorway,9_10,streaky,0.8483260416666667
ViT Large,12.289876686704607,doorway,12_10,pointy,0.8463918749999999
ViT Large,12.289876686704607,doorway,12_10,streaky,0.8494388194444445
ViT Large,12.289876686704607,doorway,12_20,pointy,0.8468858333333333
ViT Large,12.289876686704607,doorway,12_20,streaky,0.8498018402777777
ViT Large,12.289876686704607,doorway,6_10,pointy,0.8353209027777778
ViT Large,12.289876686704607,doorway,6_10,streaky,0.8412583680555554
ViT Large,12.289876686704607,doorway,6_15,pointy,0.8428201041666668
ViT Large,12.289876686704607,doorway,6_15,streaky,0.8440941319444445
ViT Large,12.289876686704607,doorway,6_20,pointy,0.84532625
ViT Large,12.289876686704607,doorway,6_20,streaky,0.8409221527777777
ViT Large,12.289876686704607,doorway,9_10,pointy,0.8439819791666666
ViT Large,12.289876686704607,doorway,9_10,streaky,0.8501506597222223
ViT Small,9.285087035086486,doorway,12_10,pointy,0.8519522569444444
ViT Small,9.285087035086486,doorway,12_10,streaky,0.8489255555555555
ViT Small,9.285087035086486,doorway,12_20,pointy,0.8326563888888889
ViT Small,9.285087035086486,doorway,12_20,streaky,0.8402957291666666
ViT Small,9.285087035086486,doorway,6_10,pointy,0.8459301041666667
ViT Small,9.285087035086486,doorway,6_10,streaky,0.8447305208333333
ViT Small,9.285087035086486,doorway,6_15,pointy,0.8391311458333334
ViT Small,9.285087035086486,doorway,6_15,streaky,0.8497779861111111
ViT Small,9.285087035086486,doorway,6_20,pointy,0.8423763541666667
ViT Small,9.285087035086486,doorway,6_20,streaky,0.8456186458333332
ViT Small,9.285087035086486,doorway,9_10,pointy,0.8470101041666667
ViT Small,9.285087035086486,doorway,9_10,streaky,0.8459065625
ConvNeXt Base,11.789397195885854,emotion,12_20,pointy,0.5355844166666666
ConvNeXt Base,11.789397195885854,emotion,12_20,streaky,0.5716820833333334
ConvNeXt Base,11.789397195885854,emotion,6_15,pointy,0.5415443333333332
ConvNeXt Base,11.789397195885854,emotion,6_15,streaky,0.5487410833333334
ConvNeXt Large,11.102269327401453,emotion,12_20,pointy,0.5292889166666667
ConvNeXt Large,11.102269327401453,emotion,12_20,streaky,0.5620353333333333
ConvNeXt Large,11.102269327401453,emotion,6_15,pointy,0.5329958333333333
ConvNeXt Large,11.102269327401453,emotion,6_15,streaky,0.55269575
ConvNeXt Small,14.681902957654135,emotion,12_20,pointy,0.5304803333333333
ConvNeXt Small,14.681902957654135,emotion,12_20,streaky,0.5645558333333334
ConvNeXt Small,14.681902957654135,emotion,6_15,pointy,0.5336292499999999
ConvNeXt Small,14.681902957654135,emotion,6_15,streaky,0.5518175833333332
ConvNeXt Tiny,12.629417287584024,emotion,12_20,pointy,0.5226184999999999
ConvNeXt Tiny,12.629417287584024,emotion,12_20,streaky,0.5579590833333332
ConvNeXt Tiny,12.629417287584024,emotion,6_15,pointy,0.5294489166666666
ConvNeXt Tiny,12.629417287584024,emotion,6_15,streaky,0.5491755833333333
DINOv3 ViT Base,6.194298452166481,emotion,12_20,pointy,0.5431083333333333
DINOv3 ViT Base,6.194298452166481,emotion,12_20,streaky,0.5692525833333333
DINOv3 ViT Base,6.194298452166481,emotion,6_15,pointy,0.5156681666666667
DINOv3 ViT Base,6.194298452166481,emotion,6_15,streaky,0.5534773333333333
ResNet18,1.6539271837530203,emotion,12_20,pointy,0.5130616666666666
ResNet18,1.6539271837530203,emotion,12_20,streaky,0.5472575833333333
ResNet18,1.6539271837530203,emotion,6_15,pointy,0.5436864166666667
ResNet18,1.6539271837530203,emotion,6_15,streaky,0.5386815833333334
ResNet50,1.6293127887454966,emotion,12_20,pointy,0.5087983333333332
ResNet50,1.6293127887454966,emotion,12_20,streaky,0.5410849166666668
ResNet50,1.6293127887454966,emotion,6_15,pointy,0.5520235
ResNet50,1.6293127887454966,emotion,6_15,streaky,0.5214476666666668
VGG11,11.69308693805628,emotion,12_20,pointy,0.5161191666666667
VGG11,11.69308693805628,emotion,12_20,streaky,0.5586484166666666
VGG11,11.69308693805628,emotion,6_15,pointy,0.53171175
VGG11,11.69308693805628,emotion,6_15,streaky,0.5299466666666667
VGG13,11.880645414819384,emotion,12_20,pointy,0.5164329166666666
VGG13,11.880645414819384,emotion,12_20,streaky,0.55226475
VGG13,11.880645414819384,emotion,6_15,pointy,0.5326665
VGG13,11.880645414819384,emotion,6_15,streaky,0.5532274166666667
VGG16,15.557113651557843,emotion,12_20,pointy,0.5160616666666666
VGG16,15.557113651557843,emotion,12_20,streaky,0.55782025
VGG16,15.557113651557843,emotion,6_15,pointy,0.53046075
VGG16,15.557113651557843,emotion,6_15,streaky,0.5415687499999999
VGG19,12.036527223043903,emotion,12_20,pointy,0.5323765833333333
VGG19,12.036527223043903,emotion,12_20,streaky,0.5707559166666667
VGG19,12.036527223043903,emotion,6_15,pointy,0.5392007499999999
VGG19,12.036527223043903,emotion,6_15,streaky,0.53113425
ViT Base,15.797533425351403,emotion,12_20,pointy,0.5256014999999999
ViT Base,15.797533425351403,emotion,12_20,streaky,0.5466507500000001
