architecture,optimal_k,task,implant_type,model_type,accuracy
ConvNeXt Large,3.76108063783553,emotion,12_20,pointy,0.5320346666666667
ConvNeXt Large,3.76108063783553,emotion,12_20,streaky,0.5673104166666667
ConvNeXt Large,3.76108063783553,emotion,6_15,pointy,0.5299735833333333
ConvNeXt Large,3.76108063783553,emotion,6_15,streaky,0.5507044166666666
ConvNeXt Small,4.512536698690102,emotion,12_20,pointy,0.5281119999999999
ConvNeXt Small,4.512536698690102,emotion,12_20,streaky,0.5584105833333334
ConvNeXt Small,4.512536698690102,emotion,6_15,pointy,0.5314711666666667
ConvNeXt Small,4.512536698690102,emotion,6_15,streaky,0.55456075
ConvNeXt Tiny,4.042110576876018,emotion,12_20,pointy,0.5241404166666666
ConvNeXt Tiny,4.042110576876018,emotion,12_20,streaky,0.5598743333333334
ConvNeXt Tiny,4.042110576876018,emotion,6_15,pointy,0.5276269166666667
ConvNeXt Tiny,4.042110576876018,emotion,6_15,streaky,0.5481391666666667
DINOv3 ViT Base,2.786404500042061,emotion,12_20,pointy,0.5352239166666667
DINOv3 ViT Base,2.786404500042061,emotion,12_20,streaky,0.5655540833333333
DINOv3 ViT Base,2.786404500042061,emotion,6_15,pointy,0.5218122500000001
DINOv3 ViT Base,2.786404500042061,emotion,6_15,streaky,0.5535270000000001
ResNet18,3.518116028526935,emotion,12_20,pointy,0.5133717499999999
ResNet18,3.518116028526935,emotion,12_20,streaky,0.5468209166666667
ResNet18,3.518116028526935,emotion,6_15,pointy,0.5463709166666666
ResNet18,3.518116028526935,emotion,6_15,streaky,0.5407538333333334
ResNet50,2.693637336609479,emotion,12_20,pointy,0.5084398333333334
ResNet50,2.693637336609479,emotion,12_20,streaky,0.5406310833333333
ResNet50,2.693637336609479,emotion,6_15,pointy,0.5546555
ResNet50,2.693637336609479,emotion,6_15,streaky,0.5193575833333334
VGG11,3.8752785295437957,emotion,12_20,pointy,0.5176564166666666
VGG11,3.8752785295437957,emotion,12_20,streaky,0.5610510000000001
VGG11,3.8752785295437957,emotion,6_15,pointy,0.5379780000000001
VGG11,3.8752785295437957,emotion,6_15,streaky,0.5341484166666667
VGG13,4.519401330287332,emotion,12_20,pointy,0.5158679166666666
VGG13,4.519401330287332,emotion,12_20,streaky,0.5518309166666666
VGG13,4.519401330287332,emotion,6_15,pointy,0.5277596666666666
VGG13,4.519401330287332,emotion,6_15,streaky,0.5512253333333333
VGG16,5.326741190227605,emotion,12_20,pointy,0.5152500833333333
VGG16,5.326741190227605,emotion,12_20,streaky,0.5537883333333334
VGG16,5.326741190227605,emotion,6_15,pointy,0.5302330833333333
VGG16,5.326741190227605,emotion,6_15,streaky,0.5433684166666667
VGG19,3.4611090032819596,emotion,12_20,pointy,0.5341190833333334
VGG19,3.4611090032819596,emotion,12_20,streaky,0.5732141666666668
VGG19,3.4611090032819596,emotion,6_15,pointy,0.5442705833333333
VGG19,3.4611090032819596,emotion,6_15,streaky,0.53543925
ViT Base,4.412179444884941,emotion,12_20,pointy,0.5255449999999999
ViT Base,4.412179444884941,emotion,12_20,streaky,0.5474616666666667
ViT Base,4.412179444884941,emotion,6_15,pointy,0.5240920833333333
ViT Base,4.412179444884941,emotion,6_15,streaky,0.5555941666666666
ViT Large,3.737809763804834,emotion,12_20,pointy,0.5204052499999999
ViT Large,3.737809763804834,emotion,12_20,streaky,0.5451130833333333
ViT Large,3.737809763804834,emotion,6_15,pointy,0.5301525
ViT Large,3.737809763804834,emotion,6_15,streaky,0.551431
