task,implant_type,model_type,run,accuracy,chance,accuracy_above_chance
doorway,12_20,pointy,AZa,0.90625,0.5,0.8125
doorway,12_20,pointy,BAa,0.9340277777777778,0.5,0.8680555555555556
doorway,12_20,pointy,GNa,0.9826388888888888,0.5,0.9652777777777777
doorway,12_20,pointy,GSa,0.8680555555555556,0.5,0.7361111111111112
doorway,12_20,pointy,JHa,0.9305555555555556,0.5,0.8611111111111112
doorway,12_20,pointy,KMa,0.9618055555555556,0.5,0.9236111111111112
doorway,12_20,pointy,LEa,0.8854166666666666,0.5,0.7708333333333333
doorway,12_20,pointy,NHa,0.9513888888888888,0.5,0.9027777777777777
doorway,12_20,pointy,URa,0.9548611111111112,0.5,0.9097222222222223
doorway,12_20,streaky,ABa,0.8993055555555556,0.5,0.7986111111111112
doorway,12_20,streaky,ANa,0.9340277777777778,0.5,0.8680555555555556
doorway,12_20,streaky,AWa,0.9027777777777778,0.5,0.8055555555555556
doorway,12_20,streaky,AZa,0.8333333333333334,0.5,0.6666666666666667
doorway,12_20,streaky,BAa,0.8993055555555556,0.5,0.7986111111111112
doorway,12_20,streaky,GNa,0.9027777777777778,0.5,0.8055555555555556
doorway,12_20,streaky,GSa,0.8125,0.5,0.625
doorway,12_20,streaky,JHa,0.9236111111111112,0.5,0.8472222222222223
doorway,12_20,streaky,KMa,0.8888888888888888,0.5,0.7777777777777777
doorway,12_20,streaky,LEa,0.8194444444444444,0.5,0.6388888888888888
doorway,12_20,streaky,NHa,0.8506944444444444,0.5,0.7013888888888888
doorway,12_20,streaky,URa,0.9027777777777778,0.5,0.8055555555555556
doorway,6_10,pointy,ABa,0.7743055555555556,0.5,0.5486111111111112
doorway,6_10,pointy,ANa,0.8402777777777778,0.5,0.6805555555555556
doorway,6_10,pointy,AWa,0.9097222222222222,0.5,0.8194444444444444
doorway,6_10,pointy,AZa,0.9270833333333334,0.5,0.8541666666666667
doorway,6_10,pointy,BAa,0.8819444444444444,0.5,0.7638888888888888
doorway,6_10,pointy,GNa,0.8923611111111112,0.5,0.7847222222222223
doorway,6_10,pointy,GSa,0.7256944444444444,0.5,0.45138888888888884
doorway,6_10,pointy,JHa,0.8298611111111112,0.5,0.6597222222222223
doorway,6_10,pointy,KMa,0.7638888888888888,0.5,0.5277777777777777
doorway,6_10,pointy,LEa,0.7361111111111112,0.5,0.4722222222222223
doorway,6_10,pointy,NHa,0.8958333333333334,0.5,0.7916666666666667
doorway,6_10,pointy,URa,0.7534722222222222,0.5,0.5069444444444444
doorway,6_10,streaky,ABa,0.8368055555555556,0.5,0.6736111111111112
doorway,6_10,streaky,ANa,0.8506944444444444,0.5,0.7013888888888888
doorway,6_10,streaky,AWa,0.8888888888888888,0.5,0.7777777777777777
doorway,6_10,streaky,AZa,0.8506944444444444,0.5,0.7013888888888888
doorway,6_10,streaky,BAa,0.7118055555555556,0.5,0.42361111111111116
doorway,6_10,streaky,GNa,0.78125,0.5,0.5625
doorway,6_10,streaky,GSa,0.5034722222222222,0.5,0.00694444444444442
doorway,6_10,streaky,JHa,0.7256944444444444,0.5,0.45138888888888884
doorway,6_10,streaky,KMa,0.7951388888888888,0.5,0.5902777777777777
doorway,6_10,streaky,LEa,0.7291666666666666,0.5,0.45833333333333326
doorway,6_10,streaky,NHa,0.8854166666666666,0.5,0.7708333333333333
doorway,6_10,streaky,URa,0.7118055555555556,0.5,0.42361111111111116
doorway,6_15,pointy,ABa,0.8541666666666666,0.5,0.7083333333333333
doorway,6_15,pointy,ANa,0.8715277777777778,0.5,0.7430555555555556
doorway,6_15,pointy,AWa,0.8472222222222222,0.5,0.6944444444444444
doorway,6_15,pointy,AZa,0.8923611111111112,0.5,0.7847222222222223
doorway,6_15,pointy,BAa,0.8506944444444444,0.5,0.7013888888888888
doorway,6_15,pointy,GNa,0.8715277777777778,0.5,0.7430555555555556
doorway,6_15,pointy,GSa,0.8090277777777778,0.5,0.6180555555555556
doorway,6_15,pointy,JHa,0.8576388888888888,0.5,0.7152777777777777
doorway,6_15,pointy,KMa,0.8472222222222222,0.5,0.6944444444444444
doorway,6_15,pointy,LEa,0.7291666666666666,0.5,0.45833333333333326
doorway,6_15,pointy,NHa,0.8819444444444444,0.5,0.7638888888888888
doorway,6_15,pointy,URa,0.8472222222222222,0.5,0.6944444444444444
doorway,6_15,streaky,ABa,0.8993055555555556,0.5,0.7986111111111112
doorway,6_15,streaky,ANa,0.8680555555555556,0.5,0.7361111111111112
doorway,6_15,streaky,AWa,0.8298611111111112,0.5,0.6597222222222223
doorway,6_15,streaky,AZa,0.7256944444444444,0.5,0.45138888888888884
doorway,6_15,streaky,BAa,0.6979166666666666,0.5,0.39583333333333326
doorway,6_15,streaky,GNa,0.8333333333333334,0.5,0.6666666666666667
doorway,6_15,streaky,GSa,0.4965277777777778,0.5,-0.00694444444444442
doorway,6_15,streaky,JHa,0.8090277777777778,0.5,0.6180555555555556
doorway,6_15,streaky,KMa,0.8055555555555556,0.5,0.6111111111111112
doorway,6_15,streaky,LEa,0.7847222222222222,0.5,0.5694444444444444
doorway,6_15,streaky,NHa,0.8298611111111112,0.5,0.6597222222222223
doorway,6_15,streaky,URa,0.7743055555555556,0.5,0.5486111111111112
doorway,6_20,pointy,ABa,0.8368055555555556,0.5,0.6736111111111112
doorway,6_20,pointy,ANa,0.8819444444444444,0.5,0.7638888888888888
doorway,6_20,pointy,AWa,0.875,0.5,0.75
doorway,6_20,pointy,AZa,0.8854166666666666,0.5,0.7708333333333333
doorway,6_20,pointy,BAa,0.8229166666666666,0.5,0.6458333333333333
doorway,6_20,pointy,GNa,0.875,0.5,0.75
doorway,6_20,pointy,GSa,0.71875,0.5,0.4375
doorway,6_20,pointy,JHa,0.8472222222222222,0.5,0.6944444444444444
doorway,6_20,pointy,KMa,0.8715277777777778,0.5,0.7430555555555556
doorway,6_20,pointy,LEa,0.9131944444444444,0.5,0.8263888888888888
doorway,6_20,pointy,NHa,0.8506944444444444,0.5,0.7013888888888888
doorway,6_20,pointy,URa,0.8715277777777778,0.5,0.7430555555555556
doorway,6_20,streaky,ABa,0.8958333333333334,0.5,0.7916666666666667
doorway,6_20,streaky,ANa,0.8541666666666666,0.5,0.7083333333333333
doorway,6_20,streaky,AWa,0.8576388888888888,0.5,0.7152777777777777
doorway,6_20,streaky,AZa,0.7847222222222222,0.5,0.5694444444444444
doorway,6_20,streaky,BAa,0.8159722222222222,0.5,0.6319444444444444
doorway,6_20,streaky,GNa,0.9027777777777778,0.5,0.8055555555555556
doorway,6_20,streaky,GSa,0.5416666666666666,0.5,0.08333333333333326
doorway,6_20,streaky,JHa,0.8194444444444444,0.5,0.6388888888888888
doorway,6_20,streaky,KMa,0.8263888888888888,0.5,0.6527777777777777
doorway,6_20,streaky,LEa,0.8194444444444444,0.5,0.6388888888888888
doorway,6_20,streaky,NHa,0.84375,0.5,0.6875
doorway,6_20,streaky,URa,0.8159722222222222,0.5,0.6319444444444444
doorway,9_10,pointy,ABa,0.8055555555555556,0.5,0.6111111111111112
doorway,9_10,pointy,ANa,0.8645833333333334,0.5,0.7291666666666667
doorway,9_10,pointy,AWa,0.8680555555555556,0.5,0.7361111111111112
doorway,9_10,pointy,AZa,0.8958333333333334,0.5,0.7916666666666667
doorway,9_10,pointy,BAa,0.8055555555555556,0.5,0.6111111111111112
doorway,9_10,pointy,GNa,0.8611111111111112,0.5,0.7222222222222223
doorway,9_10,pointy,GSa,0.8194444444444444,0.5,0.6388888888888888
doorway,9_10,pointy,JHa,0.875,0.5,0.75
doorway,9_10,pointy,KMa,0.8645833333333334,0.5,0.7291666666666667
doorway,9_10,pointy,LEa,0.7465277777777778,0.5,0.4930555555555556
doorway,9_10,pointy,NHa,0.9131944444444444,0.5,0.8263888888888888
doorway,9_10,pointy,URa,0.8645833333333334,0.5,0.7291666666666667
doorway,9_10,streaky,ABa,0.8368055555555556,0.5,0.6736111111111112
doorway,9_10,streaky,ANa,0.875,0.5,0.75
doorway,9_10,streaky,AWa,0.8576388888888888,0.5,0.7152777777777777
doorway,9_10,streaky,AZa,0.8576388888888888,0.5,0.7152777777777777
doorway,9_10,streaky,BAa,0.84375,0.5,0.6875
doorway,9_10,streaky,GNa,0.8125,0.5,0.625
doorway,9_10,streaky,GSa,0.7638888888888888,0.5,0.5277777777777777
doorway,9_10,streaky,JHa,0.8645833333333334,0.5,0.7291666666666667
doorway,9_10,streaky,KMa,0.8298611111111112,0.5,0.6597222222222223
doorway,9_10,streaky,LEa,0.84375,0.5,0.6875
doorway,9_10,streaky,NHa,0.9479166666666666,0.5,0.8958333333333333
doorway,9_10,streaky,URa,0.8368055555555556,0.5,0.6736111111111112
emotion,12_20,pointy,ABa,0.6833333333333333,0.5,0.3666666666666667
emotion,12_20,pointy,ANa,0.5416666666666666,0.5,0.08333333333333326
emotion,12_20,pointy,AWa,0.5416666666666666,0.5,0.08333333333333326
emotion,12_20,pointy,AZa,0.65,0.5,0.30000000000000004
emotion,12_20,pointy,BAa,0.6,0.5,0.19999999999999996
emotion,12_20,pointy,EBa,0.575,0.5,0.1499999999999999
emotion,12_20,pointy,ECa,0.6,0.5,0.19999999999999996
emotion,12_20,pointy,EDa,0.625,0.5,0.25
emotion,12_20,pointy,EKa,0.6416666666666667,0.5,0.28333333333333344
emotion,12_20,pointy,GSa,0.575,0.5,0.1499999999999999
emotion,12_20,pointy,LEa,0.675,0.5,0.3500000000000001
emotion,12_20,pointy,URa,0.6416666666666667,0.5,0.28333333333333344
emotion,12_20,streaky,ABa,0.6583333333333333,0.5,0.31666666666666665
emotion,12_20,streaky,ANa,0.5166666666666667,0.5,0.03333333333333344
emotion,12_20,streaky,AWa,0.5416666666666666,0.5,0.08333333333333326
emotion,12_20,streaky,AZa,0.6083333333333333,0.5,0.21666666666666656
emotion,12_20,streaky,BAa,0.525,0.5,0.050000000000000044
emotion,12_20,streaky,EBa,0.5333333333333333,0.5,0.06666666666666665
emotion,12_20,streaky,ECa,0.5916666666666667,0.5,0.18333333333333335
emotion,12_20,streaky,EDa,0.6,0.5,0.19999999999999996
emotion,12_20,streaky,EKa,0.5666666666666667,0.5,0.1333333333333333
emotion,12_20,streaky,GSa,0.5,0.5,0.0
emotion,12_20,streaky,LEa,0.5666666666666667,0.5,0.1333333333333333
emotion,12_20,streaky,URa,0.5083333333333333,0.5,0.016666666666666607
emotion,6_15,pointy,ABa,0.5583333333333333,0.5,0.1166666666666667
emotion,6_15,pointy,ANa,0.5333333333333333,0.5,0.06666666666666665
emotion,6_15,pointy,AWa,0.6083333333333333,0.5,0.21666666666666656
emotion,6_15,pointy,AZa,0.4666666666666667,0.5,-0.06666666666666665
emotion,6_15,pointy,BAa,0.48333333333333334,0.5,-0.033333333333333326
emotion,6_15,pointy,EBa,0.4666666666666667,0.5,-0.06666666666666665
emotion,6_15,pointy,ECa,0.55,0.5,0.10000000000000009
emotion,6_15,pointy,EDa,0.5083333333333333,0.5,0.016666666666666607
emotion,6_15,pointy,EKa,0.625,0.5,0.25
emotion,6_15,pointy,GSa,0.5583333333333333,0.5,0.1166666666666667
emotion,6_15,pointy,LEa,0.575,0.5,0.1499999999999999
emotion,6_15,pointy,URa,0.45,0.5,-0.09999999999999998
emotion,6_15,streaky,ABa,0.5583333333333333,0.5,0.1166666666666667
emotion,6_15,streaky,ANa,0.5416666666666666,0.5,0.08333333333333326
emotion,6_15,streaky,AWa,0.5583333333333333,0.5,0.1166666666666667
emotion,6_15,streaky,AZa,0.49166666666666664,0.5,-0.01666666666666672
emotion,6_15,streaky,BAa,0.43333333333333335,0.5,-0.1333333333333333
emotion,6_15,streaky,EBa,0.48333333333333334,0.5,-0.033333333333333326
emotion,6_15,streaky,ECa,0.49166666666666664,0.5,-0.01666666666666672
emotion,6_15,streaky,EDa,0.475,0.5,-0.050000000000000044
emotion,6_15,streaky,EKa,0.44166666666666665,0.5,-0.1166666666666667
emotion,6_15,streaky,GSa,0.625,0.5,0.25
emotion,6_15,streaky,LEa,0.49166666666666664,0.5,-0.01666666666666672
emotion,6_15,streaky,URa,0.48333333333333334,0.5,-0.033333333333333326
shape,12_10,pointy,ABa,0.6875,0.3333333333333333,0.53125
shape,12_10,pointy,ANa,0.7541666666666667,0.3333333333333333,0.63125
shape,12_10,pointy,AWa,0.6791666666666667,0.3333333333333333,0.51875
shape,12_10,pointy,AZa,0.7166666666666667,0.3333333333333333,0.575
shape,12_10,pointy,BAa,0.6916666666666667,0.3333333333333333,0.5375
shape,12_10,pointy,EBa,0.7291666666666666,0.3333333333333333,0.5937499999999999
shape,12_10,pointy,EKa,0.7083333333333334,0.3333333333333333,0.5625
shape,12_10,pointy,JHa,0.7708333333333334,0.3333333333333333,0.65625
shape,12_10,pointy,KMa,0.75,0.3333333333333333,0.625
shape,12_10,pointy,PBa,0.6333333333333333,0.3333333333333333,0.44999999999999996
shape,12_10,pointy,URa,0.3458333333333333,0.3333333333333333,0.018750000000000013
shape,12_10,pointy,ZZa,0.7416666666666667,0.3333333333333333,0.6125
shape,12_10,streaky,ABa,0.7291666666666666,0.3333333333333333,0.5937499999999999
shape,12_10,streaky,ANa,0.6625,0.3333333333333333,0.49374999999999997
shape,12_10,streaky,AWa,0.6041666666666666,0.3333333333333333,0.40624999999999994
shape,12_10,streaky,AZa,0.725,0.3333333333333333,0.5874999999999999
shape,12_10,streaky,BAa,0.6666666666666666,0.3333333333333333,0.49999999999999994
shape,12_10,streaky,EBa,0.7041666666666667,0.3333333333333333,0.55625
shape,12_10,streaky,EKa,0.675,0.3333333333333333,0.5125000000000001
shape,12_10,streaky,JHa,0.6583333333333333,0.3333333333333333,0.4875
shape,12_10,streaky,KMa,0.7041666666666667,0.3333333333333333,0.55625
shape,12_10,streaky,PBa,0.6041666666666666,0.3333333333333333,0.40624999999999994
shape,12_10,streaky,URa,0.675,0.3333333333333333,0.5125000000000001
shape,12_10,streaky,ZZa,0.625,0.3333333333333333,0.4375
shape,12_20,pointy,ABa,0.9625,0.3333333333333333,0.9437499999999999
shape,12_20,pointy,ANa,0.6208333333333333,0.3333333333333333,0.43125
shape,12_20,pointy,AWa,0.975,0.3333333333333333,0.9624999999999998
shape,12_20,pointy,AZa,0.9625,0.3333333333333333,0.9437499999999999
shape,12_20,pointy,BAa,0.95,0.3333333333333333,0.9249999999999999
shape,12_20,pointy,EBa,0.9541666666666667,0.3333333333333333,0.9312499999999999
shape,12_20,pointy,EKa,0.925,0.3333333333333333,0.8875000000000001
shape,12_20,pointy,JHa,0.9666666666666667,0.3333333333333333,0.9499999999999998
shape,12_20,pointy,KMa,0.9541666666666667,0.3333333333333333,0.9312499999999999
shape,12_20,pointy,PBa,0.9416666666666667,0.3333333333333333,0.9125
shape,12_20,pointy,URa,0.925,0.3333333333333333,0.8875000000000001
shape,12_20,pointy,ZZa,0.9,0.3333333333333333,0.8499999999999999
shape,12_20,streaky,ABa,0.925,0.3333333333333333,0.8875000000000001
shape,12_20,streaky,ANa,0.8791666666666667,0.3333333333333333,0.81875
shape,12_20,streaky,AWa,0.8583333333333333,0.3333333333333333,0.7874999999999998
shape,12_20,streaky,AZa,0.8416666666666667,0.3333333333333333,0.7624999999999998
shape,12_20,streaky,BAa,0.8791666666666667,0.3333333333333333,0.81875
shape,12_20,streaky,EBa,0.8458333333333333,0.3333333333333333,0.7687499999999998
shape,12_20,streaky,EKa,0.8583333333333333,0.3333333333333333,0.7874999999999998
shape,12_20,streaky,JHa,0.825,0.3333333333333333,0.7374999999999999
shape,12_20,streaky,KMa,0.8666666666666667,0.3333333333333333,0.8
shape,12_20,streaky,PBa,0.8458333333333333,0.3333333333333333,0.7687499999999998
shape,12_20,streaky,URa,0.8208333333333333,0.3333333333333333,0.73125
shape,12_20,streaky,ZZa,0.8583333333333333,0.3333333333333333,0.7874999999999998
shape,6_10,pointy,ABa,0.5541666666666667,0.3333333333333333,0.33125000000000004
shape,6_10,pointy,ANa,0.6291666666666667,0.3333333333333333,0.44375
shape,6_10,pointy,AWa,0.5,0.3333333333333333,0.25
shape,6_10,pointy,AZa,0.5166666666666667,0.3333333333333333,0.2750000000000001
shape,6_10,pointy,BAa,0.5375,0.3333333333333333,0.30624999999999997
shape,6_10,pointy,EBa,0.49583333333333335,0.3333333333333333,0.24375000000000002
shape,6_10,pointy,EKa,0.3416666666666667,0.3333333333333333,0.012500000000000037
shape,6_10,pointy,JHa,0.4708333333333333,0.3333333333333333,0.20625
shape,6_10,pointy,KMa,0.43333333333333335,0.3333333333333333,0.15000000000000002
shape,6_10,pointy,PBa,0.3958333333333333,0.3333333333333333,0.09374999999999999
shape,6_10,pointy,URa,0.55,0.3333333333333333,0.32500000000000007
shape,6_10,pointy,ZZa,0.5,0.3333333333333333,0.25
shape,6_10,streaky,ABa,0.5416666666666666,0.3333333333333333,0.31249999999999994
shape,6_10,streaky,ANa,0.5125,0.3333333333333333,0.26874999999999993
shape,6_10,streaky,AWa,0.5,0.3333333333333333,0.25
shape,6_10,streaky,AZa,0.48333333333333334,0.3333333333333333,0.225
shape,6_10,streaky,BAa,0.4166666666666667,0.3333333333333333,0.12500000000000003
shape,6_10,streaky,EBa,0.5125,0.3333333333333333,0.26874999999999993
shape,6_10,streaky,EKa,0.525,0.3333333333333333,0.28750000000000003
shape,6_10,streaky,JHa,0.5041666666666667,0.3333333333333333,0.25625
shape,6_10,streaky,KMa,0.525,0.3333333333333333,0.28750000000000003
shape,6_10,streaky,PBa,0.4583333333333333,0.3333333333333333,0.18749999999999997
shape,6_10,streaky,URa,0.525,0.3333333333333333,0.28750000000000003
shape,6_10,streaky,ZZa,0.44583333333333336,0.3333333333333333,0.16875000000000004
shape,6_15,pointy,ABa,0.7458333333333333,0.3333333333333333,0.61875
shape,6_15,pointy,ANa,0.6916666666666667,0.3333333333333333,0.5375
shape,6_15,pointy,AWa,0.6666666666666666,0.3333333333333333,0.49999999999999994
shape,6_15,pointy,AZa,0.7083333333333334,0.3333333333333333,0.5625
shape,6_15,pointy,BAa,0.6583333333333333,0.3333333333333333,0.4875
shape,6_15,pointy,EBa,0.7416666666666667,0.3333333333333333,0.6125
shape,6_15,pointy,EKa,0.6666666666666666,0.3333333333333333,0.49999999999999994
shape,6_15,pointy,JHa,0.7291666666666666,0.3333333333333333,0.5937499999999999
shape,6_15,pointy,KMa,0.6708333333333333,0.3333333333333333,0.5062499999999999
shape,6_15,pointy,PBa,0.6208333333333333,0.3333333333333333,0.43125
shape,6_15,pointy,URa,0.6833333333333333,0.3333333333333333,0.525
shape,6_15,pointy,ZZa,0.6875,0.3333333333333333,0.53125
shape,6_15,streaky,ABa,0.7375,0.3333333333333333,0.6062500000000001
shape,6_15,streaky,ANa,0.525,0.3333333333333333,0.28750000000000003
shape,6_15,streaky,AWa,0.65,0.3333333333333333,0.47500000000000003
shape,6_15,streaky,AZa,0.65,0.3333333333333333,0.47500000000000003
shape,6_15,streaky,BAa,0.6291666666666667,0.3333333333333333,0.44375
shape,6_15,streaky,EBa,0.6708333333333333,0.3333333333333333,0.5062499999999999
shape,6_15,streaky,EKa,0.6083333333333333,0.3333333333333333,0.4124999999999999
shape,6_15,streaky,JHa,0.6041666666666666,0.3333333333333333,0.40624999999999994
shape,6_15,streaky,KMa,0.6833333333333333,0.3333333333333333,0.525
shape,6_15,streaky,PBa,0.6625,0.3333333333333333,0.49374999999999997
shape,6_15,streaky,URa,0.6625,0.3333333333333333,0.49374999999999997
shape,6_15,streaky,ZZa,0.65,0.3333333333333333,0.47500000000000003
shape,6_20,pointy,ABa,0.7958333333333333,0.3333333333333333,0.6937499999999999
shape,6_20,pointy,ANa,0.7791666666666667,0.3333333333333333,0.66875
shape,6_20,pointy,AWa,0.7333333333333333,0.3333333333333333,0.5999999999999999
shape,6_20,pointy,AZa,0.85,0.3333333333333333,0.7749999999999998
shape,6_20,pointy,BAa,0.8,0.3333333333333333,0.7000000000000001
shape,6_20,pointy,EBa,0.7625,0.3333333333333333,0.6437499999999999
shape,6_20,pointy,EKa,0.7291666666666666,0.3333333333333333,0.5937499999999999
shape,6_20,pointy,JHa,0.765625,0.3333333333333333,0.6484375
shape,6_20,pointy,KMa,0.725,0.3333333333333333,0.5874999999999999
shape,6_20,pointy,PBa,0.6958333333333333,0.3333333333333333,0.54375
shape,6_20,pointy,URa,0.7875,0.3333333333333333,0.6812499999999999
shape,6_20,pointy,ZZa,0.7666666666666667,0.3333333333333333,0.65
shape,6_20,streaky,ABa,0.7208333333333333,0.3333333333333333,0.5812499999999999
shape,6_20,streaky,ANa,0.7583333333333333,0.3333333333333333,0.6375
shape,6_20,streaky,AWa,0.7,0.3333333333333333,0.5499999999999999
shape,6_20,streaky,AZa,0.7,0.3333333333333333,0.5499999999999999
shape,6_20,streaky,BAa,0.6541666666666667,0.3333333333333333,0.48125
shape,6_20,streaky,EBa,0.6791666666666667,0.3333333333333333,0.51875
shape,6_20,streaky,EKa,0.7041666666666667,0.3333333333333333,0.55625
shape,6_20,streaky,JHa,0.3875,0.3333333333333333,0.08125000000000003
shape,6_20,streaky,KMa,0.6041666666666666,0.3333333333333333,0.40624999999999994
shape,6_20,streaky,PBa,0.6708333333333333,0.3333333333333333,0.5062499999999999
shape,6_20,streaky,URa,0.7583333333333333,0.3333333333333333,0.6375
shape,6_20,streaky,ZZa,0.7375,0.3333333333333333,0.6062500000000001
shape,9_10,pointy,ABa,0.30833333333333335,0.3333333333333333,-0.03749999999999994
shape,9_10,pointy,ANa,0.6958333333333333,0.3333333333333333,0.54375
shape,9_10,pointy,AWa,0.5375,0.3333333333333333,0.30624999999999997
shape,9_10,pointy,AZa,0.6291666666666667,0.3333333333333333,0.44375
shape,9_10,pointy,BAa,0.625,0.3333333333333333,0.4375
shape,9_10,pointy,EBa,0.6541666666666667,0.3333333333333333,0.48125
shape,9_10,pointy,EKa,0.5791666666666667,0.3333333333333333,0.3687500000000001
shape,9_10,pointy,JHa,0.6333333333333333,0.3333333333333333,0.44999999999999996
shape,9_10,pointy,KMa,0.7083333333333334,0.3333333333333333,0.5625
shape,9_10,pointy,PBa,0.5625,0.3333333333333333,0.34375
shape,9_10,pointy,URa,0.7041666666666667,0.3333333333333333,0.55625
shape,9_10,pointy,ZZa,0.65,0.3333333333333333,0.47500000000000003
shape,9_10,streaky,ABa,0.6916666666666667,0.3333333333333333,0.5375
shape,9_10,streaky,ANa,0.6041666666666666,0.3333333333333333,0.40624999999999994
shape,9_10,streaky,AWa,0.6208333333333333,0.3333333333333333,0.43125
shape,9_10,streaky,AZa,0.625,0.3333333333333333,0.4375
shape,9_10,streaky,BAa,0.6125,0.3333333333333333,0.41875000000000007
shape,9_10,streaky,EBa,0.6333333333333333,0.3333333333333333,0.44999999999999996
shape,9_10,streaky,EKa,0.49166666666666664,0.3333333333333333,0.23749999999999996
shape,9_10,streaky,JHa,0.5166666666666667,0.3333333333333333,0.2750000000000001
shape,9_10,streaky,KMa,0.6625,0.3333333333333333,0.49374999999999997
shape,9_10,streaky,PBa,0.5333333333333333,0.3333333333333333,0.3
shape,9_10,streaky,URa,0.65,0.3333333333333333,0.47500000000000003
shape,9_10,streaky,ZZa,0.6333333333333333,0.3333333333333333,0.44999999999999996
