task,architecture,implant_type,model_type,sigma
emotion,ResNet18,12_20,streaky,0.4744571131529792
emotion,ResNet18,6_15,pointy,0.43761931323618214
emotion,ResNet18,6_15,streaky,0.44268672757286803
emotion,ResNet50,12_20,pointy,0.6267453543547983
emotion,ResNet50,12_20,streaky,0.6154555124970364
emotion,ResNet50,6_15,pointy,0.568871738240159
emotion,ResNet50,6_15,streaky,0.6766875771185094
emotion,VGG11,12_20,pointy,2.6545163818060864
emotion,VGG11,12_20,streaky,2.88167808820408
emotion,VGG11,6_15,pointy,2.384648641743684
emotion,VGG11,6_15,streaky,2.5828016029788676
emotion,VGG13,12_20,pointy,2.6908968084006055
emotion,VGG13,12_20,streaky,2.647071832549032
emotion,VGG13,6_15,pointy,3.1714729597454516
emotion,VGG13,6_15,streaky,2.7320588503334493
emotion,VGG16,12_20,pointy,3.1246911581007293
emotion,VGG16,12_20,streaky,3.163289850679185
emotion,VGG16,6_15,pointy,2.947994576862976
emotion,VGG16,6_15,streaky,2.782027037824352
emotion,VGG19,12_20,pointy,3.2540399463243848
emotion,VGG19,12_20,streaky,3.3556778678190478
emotion,VGG19,6_15,pointy,3.009912732433283
emotion,VGG19,6_15,streaky,3.0045563687016665
emotion,ViT Base,12_20,pointy,3.6007997162611103
emotion,ViT Base,12_20,streaky,3.5251574297394157
emotion,ViT Base,6_15,pointy,3.1526463773029443
emotion,ViT Base,6_15,streaky,3.408889325910654
emotion,ViT Large,12_20,pointy,3.5090054773567587
emotion,ViT Large,12_20,streaky,3.2490008836190736
emotion,ViT Large,6_15,pointy,3.3598048787931556
emotion,ViT Large,6_15,streaky,3.9205214481015425
emotion,ViT Small,12_20,pointy,3.085540497587807
emotion,ViT Small,12_20,streaky,2.818092981534404
emotion,ViT Small,6_15,pointy,3.281767225686779
emotion,ViT Small,6_15,streaky,3.1326296348033997
shape,ConvNeXt Base,12_10,pointy,0.8933959587031061
shape,ConvNeXt Base,12_10,streaky,0.7751201361182699
shape,ConvNeXt Base,12_20,pointy,0.582341747238092
